id,startTime,duration,endTime,totalPausedTime,completed,stopped,type,tags
59,2024-07-29T01:00:00+05:30,7200,2024-07-29T03:00:00+05:30,0,Y,,Work,Test
60,2024-07-29T03:00:00+05:30,3780,2024-07-29T04:03:00+05:30,0,Y,,Work,Test
61,2024-07-29T10:00:00+05:30,4500,2024-07-29T11:15:00+05:30,0,Y,,Work,Maths lecture 
62,2024-07-29T11:15:00+05:30,4500,2024-07-29T12:30:00+05:30,0,Y,,Work,Physic lec
63,2024-07-29T12:30:00+05:30,4500,2024-07-29T13:45:00+05:30,0,Y,,Work,Chemistry lec
64,2024-07-30T08:57:00+05:30,6900,2024-07-30T10:55:10+05:30,786,,Y,Work,
65,2024-07-30T10:55:11+05:30,300,2024-07-30T10:55:18+05:30,0,,Y,Rest,
67,2024-07-30T11:30:00+05:30,7200,2024-07-30T13:30:00+05:30,0,Y,,Work,Chemistry lec
68,2024-07-30T13:30:00+05:30,4500,2024-07-30T14:45:00+05:30,0,Y,,Work,Maths lecture 
69,2024-07-31T08:00:00+05:30,5400,2024-07-31T09:30:00+05:30,0,Y,,Work,Maths revision 
70,2024-07-31T10:00:00+05:30,7200,2024-07-31T12:00:00+05:30,0,Y,,Work,Test
71,2024-07-31T12:00:00+05:30,7200,2024-07-31T14:00:00+05:30,0,Y,,Work,Test
73,2024-07-31T14:00:00+05:30,7200,2024-07-31T16:00:00+05:30,0,Y,,Work,Test
74,2024-08-01T08:00:00+05:30,3600,2024-08-01T09:00:00+05:30,0,Y,,Work,Chemistry revision 
75,2024-08-01T09:00:00+05:30,3600,2024-08-01T10:00:00+05:30,0,Y,,Work,Physic lec
76,2024-08-01T11:30:00+05:30,7200,2024-08-01T13:30:00+05:30,0,Y,,Work,Chemistry lec
77,2024-08-01T13:30:00+05:30,1740,2024-08-01T13:59:00+05:30,0,Y,,Work,Physic lec
78,2024-08-01T16:23:00+05:30,2524,2024-08-01T17:05:04+05:30,0,Y,,Work,Physic lec
79,2024-08-01T17:09:00+05:30,3731,2024-08-01T18:11:11+05:30,0,Y,,Work,Test
80,2024-08-01T18:48:00+05:30,3537,2024-08-01T19:46:57+05:30,0,Y,,Work,Test
81,2024-08-02T08:25:00+05:30,2732,2024-08-02T09:10:32+05:30,0,Y,,Work,Chemistry revision 
83,2024-08-02T10:00:00+05:30,7200,2024-08-02T12:00:00+05:30,0,Y,,Work,Chemistry lec
84,2024-08-02T12:00:00+05:30,7200,2024-08-02T14:00:00+05:30,0,Y,,Work,"Chemistry lec,Physic lec"
85,2024-08-02T23:07:00+05:30,3060,2024-08-02T23:58:00+05:30,0,Y,,Work,Chemistry practice 
86,2024-08-03T01:22:00+05:30,570,2024-08-03T01:31:30+05:30,0,Y,,Work,
88,2024-08-03T01:33:00+05:30,679,2024-08-03T01:44:19+05:30,0,Y,,Work,Physic practice 
89,2024-08-03T01:57:00+05:30,922,2024-08-03T02:12:22+05:30,0,Y,,Work,School 
91,2024-08-03T10:00:00+05:30,7200,2024-08-03T12:00:00+05:30,0,Y,,Work,"Maths lecture ,Physic lec"
92,2024-08-03T12:00:00+05:30,5520,2024-08-03T13:32:00+05:30,0,Y,,Work,Maths lecture 
93,2024-08-03T15:00:00+05:30,5460,2024-08-03T16:31:00+05:30,0,Y,,Work,School 
90,2024-08-03T21:01:00+05:30,3041,2024-08-03T21:51:41+05:30,0,Y,,Work,Chemistry revision 
94,2024-08-03T22:32:00+05:30,900,2024-08-03T22:47:00+05:30,0,Y,,Work,Chemistry practice 
96,2024-08-03T23:04:00+05:30,900,2024-08-03T23:19:00+05:30,0,Y,,Work,Chemistry practice 
243,2024-08-04T07:00:00+05:30,7200,2024-08-04T09:00:00+05:30,0,Y,,Work,"Chemistry revision ,Maths revision "
